CVE_ID,Device_Name,IP_Addresses,Operating_System,Risk_Score,Priority,Patch_Urgency_Days,Patch_Deadline,Status,User_ID,User_Name,Scan_Timestamp
CVE-2024-38112,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-38112,TPTK-SVR-MGTMEV,10.11.200.102,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-38178,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-38178,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-38178,TPTK-SVR-MGTMEV,10.11.200.102,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-38193,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-38193,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-38193,TPTK-SVR-MGTMEV,10.11.200.102,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-38213,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-38213,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-38213,TPTK-SVR-MGTMEV,10.11.200.102,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-38217,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-38217,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-38217,TPTK-SVR-MGTMEV,10.11.200.102,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-43451,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-43451,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-43451,TPTK-SVR-MGTMEV,10.11.200.102,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-43461,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-43461,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-43461,TPTK-SVR-MGTMEV,10.11.200.102,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-43572,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-43572,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-43572,TPTK-SVR-MGTMEV,10.11.200.102,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-43573,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-43573,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-43573,TPTK-SVR-MGTMEV,10.11.200.102,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-4671,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-4761,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-49039,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-49039,TPTK-SVR-MGTMEV,10.11.200.102,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-49138,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-49138,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-49138,TPTK-SVR-MGTMEV,10.11.200.102,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-4947,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-5274,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-7965,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2024-7971,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2025-21391,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2025-21391,TPTK-SVR-MGTMEV,10.11.200.102,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2025-21418,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2025-21418,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2025-21418,TPTK-SVR-MGTMEV,10.11.200.102,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2025-24054,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2025-24054,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2025-24983,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2025-24984,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2025-24984,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2025-24985,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2025-24985,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2025-24991,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2025-24991,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2025-24993,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2025-24993,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2025-26633,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2025-26633,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2025-2783,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2025-29824,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2025-29824,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2025-30397,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2025-30400,TPBB-SVR-MGTMEP,10.25.3.151,Windows Server 2022 10.0 (Build 20348),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2025-32701,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2025-32706,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2025-32709,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2025-33053,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2025-4664,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2025-5419,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2025-6554,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2025-6558,appcbs2,10.130.0.208,Windows Server 2012 R2 6.3 (Build 9600),87.0,Critical,1,2025-08-03,new,N/A,N/A,2025-08-02 14:41:24
CVE-2023-24932,AWS-SVRADDS01,172.20.2.254,Windows Server 2022 10.0 (Build 20348),86.0,Critical,1,2025-08-03,new,11cb13cdd393fe01f1dd971222d47e67e3af542a,104869,2025-08-02 14:41:24
CVE-2024-43451,AWS-SVRADDS01,172.20.2.254,Windows Server 2022 10.0 (Build 20348),86.0,Critical,1,2025-08-03,new,11cb13cdd393fe01f1dd971222d47e67e3af542a,104869,2025-08-02 14:41:24
